,age,num_publications,specialty,marketing_dollars_spent,purchased
175,53,5,emergency medicine,20,True
176,46,8,internal medicine,21,True
177,37,4,internal medicine,9,True
178,28,6,other,26,True
179,37,5,other,6,False
180,46,11,emergency medicine,6,False
181,32,6,emergency medicine,9,False
182,58,11,other,1,False
183,36,6,obgyn,21,False
184,45,6,other,23,False
185,30,8,obgyn,15,False
186,58,6,other,7,False
187,48,5,other,7,False
188,35,10,obgyn,4,False
189,27,5,internal medicine,5,True
190,49,8,internal medicine,12,True
191,50,7,obgyn,20,False
192,35,3,obgyn,5,False
193,55,4,internal medicine,10,True
194,53,4,obgyn,20,False
195,36,8,emergency medicine,25,False
196,41,4,internal medicine,2,True
197,35,8,emergency medicine,0,False
198,43,4,internal medicine,6,True
199,26,8,other,19,False
200,54,3,cardiology,14,False
201,33,8,other,2,False
202,33,5,cardiology,19,False
203,41,3,other,24,True
204,37,7,cardiology,11,False
205,49,10,obgyn,23,False
206,51,11,cardiology,6,False
207,38,10,internal medicine,25,True
208,30,5,other,17,False
209,48,7,cardiology,18,False
210,34,8,other,8,True
211,32,6,emergency medicine,24,False
212,27,4,emergency medicine,8,True
213,47,6,emergency medicine,5,False
214,54,6,internal medicine,4,True
215,36,10,obgyn,18,False
216,57,9,cardiology,3,False
217,42,3,internal medicine,7,True
218,35,4,cardiology,26,False
219,40,7,emergency medicine,3,False
220,25,10,cardiology,21,False
221,38,6,cardiology,10,False
222,55,8,emergency medicine,21,False
223,40,8,cardiology,4,False
224,33,10,internal medicine,24,True
225,43,8,obgyn,2,False
226,26,8,obgyn,12,False
227,40,3,obgyn,14,False
228,50,8,obgyn,12,False
229,35,8,cardiology,3,False
230,47,10,other,22,False
231,55,4,other,1,True
232,54,6,emergency medicine,1,False
233,39,7,other,22,False
234,39,10,emergency medicine,21,False
235,56,5,obgyn,14,False
236,42,5,other,26,False
237,27,7,other,17,False
238,59,2,cardiology,3,True
239,38,6,other,11,False
240,42,6,internal medicine,27,True
241,35,7,obgyn,27,False
242,57,9,emergency medicine,0,False
243,36,11,obgyn,8,False
244,33,10,obgyn,25,True
245,29,10,obgyn,18,False
246,37,7,other,11,False
247,42,5,obgyn,8,False
248,45,6,obgyn,28,False
249,55,9,cardiology,3,False
250,51,10,internal medicine,14,True
251,55,12,cardiology,0,False
252,59,10,obgyn,2,False
253,36,7,cardiology,5,False
254,33,8,emergency medicine,18,False
255,58,8,other,22,False
256,59,6,emergency medicine,4,False
257,46,5,internal medicine,6,True
258,59,8,emergency medicine,5,False
259,47,6,other,5,False
260,47,11,internal medicine,4,False
261,44,7,emergency medicine,13,False
262,37,7,cardiology,16,False
263,54,8,internal medicine,15,True
264,43,10,cardiology,20,False
265,39,9,other,27,False
266,44,7,emergency medicine,22,False
267,49,9,cardiology,4,False
268,38,9,cardiology,1,False
269,41,8,obgyn,14,False
270,48,7,other,17,False
271,53,2,cardiology,11,True
272,58,7,internal medicine,12,True
273,51,10,emergency medicine,28,False
274,55,9,obgyn,18,False
275,59,5,cardiology,5,False
276,50,9,internal medicine,8,True
277,37,11,obgyn,9,False
278,29,9,obgyn,7,False
279,46,8,obgyn,1,False
280,36,10,internal medicine,16,True
281,37,7,cardiology,24,False
282,51,9,obgyn,0,False
283,48,5,obgyn,20,False
284,39,5,cardiology,14,False
285,50,10,cardiology,25,False
286,33,8,obgyn,14,False
287,43,10,cardiology,20,False
288,47,7,obgyn,6,False
289,27,6,obgyn,3,False
290,40,9,obgyn,21,False
291,28,7,emergency medicine,5,False
292,37,9,cardiology,13,False
293,39,5,internal medicine,5,True
294,55,10,internal medicine,13,True
295,50,9,internal medicine,12,True
296,57,6,internal medicine,19,True
297,53,8,obgyn,14,False
298,56,12,other,8,False
299,50,8,emergency medicine,7,False
300,34,8,obgyn,4,True
301,35,8,emergency medicine,8,False
302,28,6,cardiology,12,False
303,37,4,obgyn,22,False
304,43,7,internal medicine,18,True
305,42,8,cardiology,25,False
306,25,11,other,26,False
307,30,8,cardiology,18,False
308,49,3,obgyn,1,False
309,59,9,emergency medicine,23,False
310,27,6,emergency medicine,27,False
311,35,6,cardiology,5,False
312,34,6,obgyn,28,False
313,49,5,obgyn,21,False
314,59,10,cardiology,10,False
315,45,4,internal medicine,0,True
316,46,7,emergency medicine,21,False
317,56,5,cardiology,0,False
318,32,7,other,23,False
319,25,10,cardiology,23,False
320,42,10,other,19,False
321,51,8,obgyn,15,False
322,59,10,obgyn,23,False
323,38,6,emergency medicine,13,True
324,36,8,emergency medicine,4,False
325,39,6,internal medicine,0,True
326,28,9,obgyn,7,False
327,55,6,internal medicine,20,True
328,33,8,cardiology,5,False
329,47,6,internal medicine,8,True
330,26,6,other,10,False
331,37,4,emergency medicine,27,True
332,48,7,other,25,False
333,40,3,other,9,True
334,55,5,cardiology,14,False
335,44,10,obgyn,25,False
336,28,2,emergency medicine,18,True
337,38,8,cardiology,16,False
338,26,12,internal medicine,18,False
339,37,7,emergency medicine,26,True
340,41,6,obgyn,4,False
341,51,5,obgyn,24,False
342,40,4,emergency medicine,27,True
343,55,11,internal medicine,5,False
344,59,6,cardiology,14,False
345,37,5,cardiology,4,False
346,41,8,emergency medicine,4,False
347,52,6,cardiology,10,False
348,49,9,obgyn,19,False
349,42,6,other,5,False
350,41,5,emergency medicine,15,True
351,58,6,emergency medicine,11,False
352,58,5,internal medicine,11,True
353,25,5,internal medicine,11,True
354,35,11,obgyn,8,False
355,59,7,cardiology,27,False
356,47,2,cardiology,15,True
357,46,6,internal medicine,3,True
358,31,3,emergency medicine,10,True
359,54,4,internal medicine,12,True
360,28,5,other,20,False
361,55,6,obgyn,10,False
362,28,5,cardiology,7,False
363,36,4,obgyn,26,False
364,30,4,emergency medicine,18,True
365,51,7,other,19,False
366,48,6,emergency medicine,0,False
367,34,2,cardiology,21,True
368,59,9,other,20,False
369,33,14,emergency medicine,16,False
370,50,8,cardiology,14,False
371,56,6,emergency medicine,18,False
372,59,4,emergency medicine,9,True
373,26,6,obgyn,16,False
374,50,3,emergency medicine,27,True
375,36,5,obgyn,21,False
376,47,6,internal medicine,10,True
377,33,6,internal medicine,3,True
378,44,7,cardiology,15,False
379,40,5,obgyn,5,False
380,39,6,obgyn,18,False
381,45,7,other,29,False
382,25,4,obgyn,2,False
383,42,6,emergency medicine,25,False
384,35,8,obgyn,4,False
385,42,6,other,16,False
386,36,3,obgyn,7,False
387,59,10,other,22,False
388,50,9,other,8,False
389,49,6,internal medicine,23,True
390,49,8,other,4,False
391,32,10,internal medicine,2,True
392,46,13,other,24,False
393,33,6,obgyn,1,False
394,47,9,other,29,True
395,36,1,other,17,True
396,30,9,cardiology,2,False
397,37,6,cardiology,7,False
398,48,4,obgyn,0,False
399,51,5,internal medicine,17,True
400,45,4,cardiology,14,False
401,55,10,cardiology,16,True
402,45,6,internal medicine,24,True
403,42,5,internal medicine,26,True
404,40,9,emergency medicine,19,False
405,50,4,internal medicine,23,True
406,38,9,other,8,False
407,30,8,cardiology,9,False
408,43,6,obgyn,21,False
409,40,8,emergency medicine,28,False
410,43,3,emergency medicine,18,True
411,38,7,internal medicine,29,True
412,54,4,other,28,False
413,39,5,internal medicine,19,True
414,59,6,other,29,False
415,29,4,other,1,False
416,48,9,emergency medicine,22,False
417,48,4,internal medicine,21,True
418,42,13,other,25,False
419,43,6,emergency medicine,26,False
420,48,4,other,11,False
421,46,8,internal medicine,28,True
422,27,7,other,4,False
423,54,10,cardiology,20,False
424,46,5,other,11,False
425,41,5,emergency medicine,23,True
426,36,9,obgyn,6,False
427,40,5,other,27,False
428,41,4,other,9,False
429,49,13,obgyn,2,False
430,25,12,other,7,False
431,41,11,obgyn,26,False
432,42,8,internal medicine,25,True
433,59,6,cardiology,22,False
434,32,6,other,2,False
435,33,6,obgyn,22,False
436,53,7,internal medicine,19,True
437,29,11,obgyn,1,False
438,52,7,cardiology,12,False
439,32,2,internal medicine,4,True
440,41,7,internal medicine,29,True
441,55,4,cardiology,12,False
442,26,5,internal medicine,26,True
443,52,8,emergency medicine,26,True
444,35,4,cardiology,25,False
445,27,7,emergency medicine,9,False
446,28,6,internal medicine,3,True
447,57,12,cardiology,13,False
448,31,6,cardiology,11,False
449,29,8,cardiology,19,False
450,37,8,other,3,False
451,35,8,obgyn,3,False
452,56,11,internal medicine,7,False
453,49,6,internal medicine,20,True
454,34,14,other,0,False
455,57,8,other,23,False
456,29,11,other,15,False
457,57,6,obgyn,23,False
458,56,9,internal medicine,15,True
459,29,11,obgyn,25,False
460,45,4,emergency medicine,11,True
461,26,5,cardiology,16,False
462,52,11,obgyn,7,False
463,55,6,obgyn,10,False
464,55,6,emergency medicine,14,False
465,36,3,obgyn,9,False
466,53,3,obgyn,6,False
467,44,3,emergency medicine,20,True
468,28,3,internal medicine,27,True
469,38,5,obgyn,13,False
470,52,7,other,25,False
471,49,6,internal medicine,7,True
472,51,7,obgyn,20,False
473,49,5,obgyn,11,False
474,48,5,obgyn,19,False
475,26,10,emergency medicine,19,False
476,32,5,emergency medicine,11,True
477,37,10,obgyn,27,False
478,28,4,cardiology,3,False
479,30,4,other,19,False
480,38,5,other,16,False
481,32,6,other,1,False
482,39,13,other,1,False
483,36,4,emergency medicine,4,True
484,45,7,cardiology,29,False
485,35,9,internal medicine,28,True
486,31,3,other,17,True
487,36,10,obgyn,22,False
488,59,10,internal medicine,12,True
489,26,4,obgyn,6,False
490,42,9,other,3,False
491,53,11,internal medicine,13,False
492,29,2,obgyn,14,False
493,46,10,emergency medicine,6,True
494,44,10,emergency medicine,28,False
495,56,8,cardiology,6,False
496,31,5,other,21,False
497,52,10,other,8,False
498,43,5,cardiology,21,False
499,25,11,obgyn,21,False
500,32,8,emergency medicine,13,False
501,34,8,obgyn,5,False
502,54,5,other,11,False
503,48,11,internal medicine,17,False
504,45,3,cardiology,17,False
505,50,8,other,23,False
506,30,11,emergency medicine,4,False
507,52,7,emergency medicine,15,False
508,29,7,emergency medicine,3,False
509,26,5,emergency medicine,10,True
510,40,6,emergency medicine,1,False
511,44,9,obgyn,18,False
512,32,5,internal medicine,7,True
513,38,6,obgyn,29,True
514,59,9,cardiology,3,False
515,55,8,emergency medicine,25,False
516,57,9,internal medicine,28,False
517,25,5,emergency medicine,23,True
518,48,1,internal medicine,4,True
519,29,11,internal medicine,22,False
520,30,6,other,28,False
521,41,13,cardiology,7,False
522,26,9,emergency medicine,9,False
523,46,5,obgyn,12,False
524,42,3,cardiology,17,False
525,52,9,obgyn,20,True
526,25,12,cardiology,21,False
527,58,4,internal medicine,11,True
528,52,13,other,22,False
529,52,9,other,8,False
530,41,5,obgyn,5,False
531,53,4,other,23,False
532,50,10,internal medicine,22,True
533,54,9,obgyn,26,False
534,48,6,emergency medicine,18,False
535,51,8,cardiology,21,False
536,27,6,other,13,False
537,40,7,emergency medicine,2,False
538,45,4,other,0,False
539,43,5,internal medicine,16,True
540,36,5,cardiology,25,False
541,28,4,cardiology,1,False
542,40,6,emergency medicine,5,False
543,46,5,obgyn,28,False
544,48,11,obgyn,3,False
545,59,10,internal medicine,7,True
546,41,8,emergency medicine,13,False
547,27,9,obgyn,7,False
548,52,8,obgyn,26,False
549,50,7,emergency medicine,22,False
550,53,4,obgyn,15,False
551,54,7,cardiology,0,False
552,31,10,internal medicine,5,True
553,38,7,internal medicine,5,True
554,52,2,cardiology,18,True
555,53,7,obgyn,26,False
556,48,9,other,10,False
557,35,4,other,13,False
558,35,9,other,12,False
559,32,6,emergency medicine,14,False
560,52,7,emergency medicine,16,False
561,45,10,emergency medicine,21,False
562,46,4,cardiology,7,False
563,42,4,internal medicine,9,True
564,25,14,obgyn,10,False
565,28,8,other,20,True
566,59,7,internal medicine,19,True
567,51,9,emergency medicine,19,False
568,38,8,other,23,False
569,29,11,internal medicine,12,False
570,31,6,internal medicine,26,True
571,42,4,emergency medicine,29,True
572,58,8,other,22,False
573,35,4,internal medicine,1,True
574,56,5,cardiology,16,False
575,49,3,other,19,True
576,42,5,other,29,False
577,31,4,cardiology,7,False
578,38,14,internal medicine,16,False
579,47,12,emergency medicine,14,False
580,43,3,emergency medicine,23,True
581,52,9,obgyn,25,False
582,29,3,cardiology,2,False
583,34,5,cardiology,16,False
584,29,7,cardiology,19,False
585,43,9,other,12,False
586,34,4,emergency medicine,8,True
587,42,6,emergency medicine,23,False
588,54,7,obgyn,10,False
589,56,6,emergency medicine,17,True
590,41,9,other,20,True
591,52,7,cardiology,10,False
592,37,6,cardiology,4,False
593,36,4,other,11,False
594,30,6,internal medicine,15,True
595,57,8,cardiology,0,False
596,40,11,other,18,False
597,42,10,cardiology,26,False
598,26,14,cardiology,9,True
599,26,7,obgyn,7,False
600,32,6,other,27,False
601,48,6,emergency medicine,10,False
602,38,10,cardiology,6,False
603,34,7,obgyn,29,False
604,28,10,internal medicine,28,True
605,47,4,obgyn,15,False
606,29,4,cardiology,6,False
607,34,6,cardiology,19,False
608,39,5,internal medicine,17,True
609,28,9,other,23,False
610,52,6,obgyn,13,False
611,40,6,emergency medicine,21,False
612,27,10,cardiology,2,False
613,58,6,cardiology,0,False
614,38,15,internal medicine,6,False
615,38,9,emergency medicine,20,False
616,31,5,other,13,False
617,48,9,emergency medicine,25,False
618,48,8,internal medicine,20,True
619,37,8,cardiology,27,False
620,48,11,cardiology,23,False
621,36,7,other,16,False
622,45,8,cardiology,3,False
623,48,9,obgyn,10,False
624,46,3,cardiology,21,False
625,50,7,emergency medicine,15,False
626,43,7,emergency medicine,7,False
627,28,11,internal medicine,7,False
628,35,8,other,20,False
629,58,8,other,23,False
630,40,7,cardiology,29,False
631,39,6,cardiology,5,False
632,34,6,obgyn,29,False
633,53,11,cardiology,21,False
634,57,9,other,26,False
635,50,6,emergency medicine,13,False
636,38,6,emergency medicine,27,False
637,27,11,cardiology,1,False
638,57,6,emergency medicine,12,False
639,46,11,other,14,False
640,56,3,emergency medicine,3,True
641,40,6,obgyn,18,False
642,53,10,cardiology,22,False
643,55,8,obgyn,8,False
644,32,9,emergency medicine,4,False
645,34,10,internal medicine,10,True
646,47,10,other,19,True
647,49,3,other,4,True
648,55,5,internal medicine,6,True
649,58,8,other,12,False
650,57,5,cardiology,3,False
651,36,5,emergency medicine,8,True
652,44,6,obgyn,5,False
653,36,12,emergency medicine,29,False
654,42,7,emergency medicine,17,True
655,37,12,emergency medicine,5,False
656,42,7,obgyn,11,False
657,43,11,emergency medicine,17,False
658,32,7,emergency medicine,2,False
659,47,9,internal medicine,27,True
660,45,6,cardiology,1,False
661,39,7,emergency medicine,17,False
662,36,9,obgyn,26,False
663,43,12,emergency medicine,15,False
664,34,8,emergency medicine,26,False
665,45,5,cardiology,17,False
666,35,14,cardiology,27,False
667,31,5,cardiology,29,False
668,39,8,other,9,False
669,44,15,obgyn,16,True
670,36,9,emergency medicine,15,False
671,41,8,internal medicine,5,True
672,36,8,emergency medicine,1,False
673,34,9,emergency medicine,28,True
674,55,10,other,10,False
675,57,4,cardiology,1,False
676,32,7,internal medicine,6,True
677,33,5,internal medicine,10,True
678,50,4,cardiology,22,False
679,28,10,internal medicine,9,True
680,58,7,cardiology,15,False
681,25,5,cardiology,12,False
682,36,5,cardiology,28,False
683,40,5,cardiology,28,False
684,56,8,internal medicine,0,True
685,37,10,other,3,False
686,57,10,emergency medicine,2,False
687,53,14,emergency medicine,20,False
688,43,12,cardiology,14,False
689,47,10,obgyn,0,False
690,32,4,internal medicine,21,True
691,31,8,internal medicine,24,True
692,27,11,emergency medicine,10,False
693,55,12,internal medicine,14,False
694,31,7,internal medicine,24,True
695,52,5,cardiology,7,False
696,32,3,obgyn,23,False
697,51,8,internal medicine,28,True
698,36,3,obgyn,24,False
699,40,10,emergency medicine,21,False
700,37,5,cardiology,24,False
701,46,9,obgyn,0,False
702,55,7,cardiology,14,False
703,47,3,other,1,True
704,30,6,other,23,False
705,48,6,other,6,False
706,57,6,obgyn,25,False
707,34,12,emergency medicine,8,False
708,33,9,obgyn,22,False
709,57,4,internal medicine,9,True
710,32,8,obgyn,1,False
711,31,7,other,28,False
712,49,4,other,26,False
713,32,4,internal medicine,17,True
714,46,14,cardiology,21,False
715,40,11,obgyn,26,False
716,45,6,cardiology,7,False
717,41,6,cardiology,11,False
718,27,4,internal medicine,6,True
719,49,10,cardiology,15,False
720,59,12,obgyn,12,False
721,58,11,obgyn,13,False
722,40,4,cardiology,29,False
723,58,3,other,1,False
724,48,4,internal medicine,22,True
725,56,10,emergency medicine,1,False
726,31,6,emergency medicine,10,False
727,27,8,emergency medicine,8,False
728,32,8,other,23,False
729,45,9,obgyn,14,False
730,55,4,other,28,False
731,52,8,emergency medicine,17,False
732,35,8,emergency medicine,8,False
733,29,6,emergency medicine,24,False
734,35,9,cardiology,29,False
735,41,8,internal medicine,22,True
736,30,3,emergency medicine,24,True
737,27,5,internal medicine,5,True
738,40,3,emergency medicine,28,False
739,53,9,obgyn,10,False
740,47,9,obgyn,13,False
741,37,14,obgyn,29,False
742,46,4,cardiology,6,False
743,58,7,internal medicine,9,True
744,41,7,internal medicine,13,True
745,42,6,internal medicine,2,True
746,42,9,other,10,False
747,27,6,cardiology,2,False
748,59,6,obgyn,24,False
749,51,11,emergency medicine,5,False
750,36,5,emergency medicine,6,True
751,59,7,other,15,False
752,31,6,emergency medicine,20,True
753,50,5,other,12,False
754,47,6,other,2,False
755,50,5,cardiology,16,False
756,37,11,cardiology,0,False
757,30,7,other,26,False
758,42,8,obgyn,16,False
759,44,4,internal medicine,17,True
760,25,3,other,20,True
761,50,3,other,2,True
762,32,7,emergency medicine,0,False
763,55,5,emergency medicine,18,True
764,32,3,internal medicine,1,True
765,38,9,internal medicine,24,False
766,51,7,obgyn,18,False
767,27,11,obgyn,22,False
768,50,6,emergency medicine,17,False
769,52,6,internal medicine,28,True
770,55,4,cardiology,0,False
771,36,8,cardiology,19,False
772,28,9,internal medicine,2,False
773,38,9,emergency medicine,4,False
774,58,2,other,27,True
775,58,4,other,16,False
776,43,3,internal medicine,18,False
777,38,13,obgyn,26,False
778,48,9,obgyn,21,False
779,55,6,emergency medicine,14,True
780,48,4,emergency medicine,22,True
781,32,11,internal medicine,6,False
782,39,4,obgyn,0,False
783,38,7,obgyn,3,False
784,25,6,obgyn,23,False
785,44,10,cardiology,9,False
786,32,4,internal medicine,22,True
787,42,3,emergency medicine,5,True
788,29,9,cardiology,25,False
789,30,6,emergency medicine,6,False
790,36,11,emergency medicine,8,False
791,40,12,emergency medicine,5,False
792,26,12,internal medicine,28,False
793,56,8,other,8,False
794,56,9,cardiology,25,False
795,41,9,obgyn,27,False
796,38,6,other,12,False
797,55,9,internal medicine,4,True
798,26,8,obgyn,22,False
799,54,6,obgyn,17,False
800,57,8,emergency medicine,11,False
801,28,5,emergency medicine,17,True
802,45,9,other,27,False
803,50,10,obgyn,11,False
804,55,9,internal medicine,27,True
805,41,7,obgyn,17,False
806,35,8,cardiology,0,False
807,59,7,other,17,False
808,59,6,emergency medicine,0,False
809,49,7,obgyn,18,False
810,34,8,internal medicine,22,True
811,44,5,cardiology,8,False
812,54,10,cardiology,15,False
813,36,3,cardiology,27,False
814,56,6,emergency medicine,13,True
815,30,7,internal medicine,6,True
816,29,10,internal medicine,13,True
817,59,6,internal medicine,10,True
818,50,9,obgyn,23,False
819,34,6,emergency medicine,11,False
820,58,4,obgyn,13,False
821,35,4,internal medicine,20,False
822,38,10,other,27,False
823,35,6,other,25,False
824,53,13,internal medicine,28,False
825,43,4,obgyn,9,False
826,33,11,cardiology,8,False
827,28,7,other,25,False
828,30,9,obgyn,12,True
829,54,8,obgyn,15,False
830,35,3,emergency medicine,22,True
831,31,7,other,17,False
832,27,8,other,26,False
833,48,7,obgyn,5,False
834,41,8,emergency medicine,13,False
835,58,5,cardiology,23,False
836,40,8,emergency medicine,28,False
837,38,5,obgyn,15,False
838,44,2,internal medicine,16,True
839,39,12,other,10,False
840,38,5,other,11,False
841,49,12,emergency medicine,25,False
842,58,11,emergency medicine,6,False
843,35,9,obgyn,23,False
844,47,9,emergency medicine,2,False
845,26,7,internal medicine,23,True
846,51,11,emergency medicine,29,False
847,29,6,other,27,False
848,31,7,cardiology,10,False
849,27,7,other,1,False
850,55,7,emergency medicine,10,False
851,29,4,internal medicine,0,True
852,35,3,internal medicine,22,True
853,50,6,emergency medicine,19,False
854,43,7,emergency medicine,10,False
855,37,7,internal medicine,2,True
856,33,9,internal medicine,1,True
857,47,6,emergency medicine,13,False
858,49,4,emergency medicine,19,True
859,53,6,obgyn,29,False
860,33,10,cardiology,22,False
861,58,12,cardiology,13,False
862,25,11,emergency medicine,5,False
863,34,8,obgyn,18,False
864,54,9,internal medicine,5,True
865,47,7,cardiology,4,False
866,49,5,internal medicine,11,True
867,45,7,other,13,False
868,47,10,emergency medicine,2,False
869,28,9,internal medicine,17,True
870,31,5,internal medicine,29,True
871,43,4,obgyn,29,False
872,28,5,obgyn,0,False
873,27,5,emergency medicine,16,True
874,47,6,other,13,False
875,48,3,cardiology,20,True
876,35,6,obgyn,18,False
877,27,6,emergency medicine,4,False
878,29,12,cardiology,19,False
879,48,11,other,21,False
880,58,4,cardiology,7,False
881,30,8,obgyn,23,False
882,47,9,obgyn,27,False
883,33,11,emergency medicine,11,False
884,27,12,cardiology,3,False
885,54,7,emergency medicine,10,False
886,51,5,cardiology,14,False
887,53,8,obgyn,24,False
888,33,7,other,5,False
889,54,7,other,11,False
890,47,5,obgyn,0,False
891,48,6,obgyn,20,False
892,34,10,cardiology,25,False
893,55,4,obgyn,8,False
894,45,4,cardiology,17,False
895,35,11,other,1,False
896,27,6,other,15,False
897,41,13,emergency medicine,23,False
898,28,4,other,25,False
899,29,9,obgyn,16,False
900,32,7,emergency medicine,23,False
901,54,12,obgyn,28,False
902,52,9,internal medicine,27,True
903,40,8,internal medicine,17,True
904,39,12,obgyn,22,False
905,59,8,cardiology,6,False
906,29,9,other,17,False
907,44,5,obgyn,10,False
908,57,4,internal medicine,0,True
909,37,5,other,11,False
910,40,6,internal medicine,21,True
911,30,5,emergency medicine,1,True
912,25,7,internal medicine,7,True
913,57,7,obgyn,19,False
914,38,11,emergency medicine,7,False
915,51,7,internal medicine,29,True
916,59,5,cardiology,4,False
917,34,6,other,4,False
918,31,2,other,15,True
919,45,3,other,10,True
920,46,5,obgyn,19,False
921,40,9,obgyn,9,False
922,46,4,cardiology,24,False
923,31,6,emergency medicine,29,False
924,54,4,other,8,False
925,53,5,emergency medicine,28,True
